periodyear,planning.region,ag.emp,total.emp,ag.emp.index,total.emp.index,ag.pct.total.emp
2013,Seven County Mpls-St Paul,19793,1620612,1.0440447304567992,1.0139998010307607,0.012213287326022514
2013,Southwest,17870,174303,0.9664160943161538,0.9974820164470107,0.1025226186583134
2013,Southeast,14371,235160,1.041225909288509,1.036042981949872,0.061111583602653514
2014,Northwest,12686,216394,1.2286682808716707,1.0639362800531,0.05862454596707857
2014,Northeast,352,141610,0.3902439024390244,1.0186523950308235,0.0024857001624179085
2014,Central,13787,263698,1.1784767928882811,1.113782369413623,0.052283293767870824
2014,Seven County Mpls-St Paul,19548,1643371,1.0311214263107922,1.0282398668032338,0.011895062040160134
2014,Southwest,18217,174511,0.9851819804229084,0.9986723359447874,0.10438883508775951
2014,Southeast,14381,235382,1.0419504419649326,1.0370210459998501,0.06109643048321452
2015,Northwest,12727,217864,1.232639225181598,1.0711637740301883,0.0584171776888334
2015,Northeast,374,142731,0.4146341463414634,1.0267161570167678,0.0026203137370297974
2015,Central,14028,268190,1.1990768441747157,1.1327552490084853,0.052306200827771356
2015,Seven County Mpls-St Paul,19493,1675292,1.0282202764004642,1.0482124991474981,0.011635583528125246
2015,Southwest,19093,175889,1.0325563787788654,1.0065582026175584,0.108551415949832
2015,Southeast,14639,237642,1.0606433850166643,1.0469779142563849,0.061601063785021164
2016,Northwest,12917,219296,1.251041162227603,1.0782044348296376,0.05890212315774113
2016,Northeast,378,141873,0.4190687361419069,1.0205442499838149,0.0026643547398024995
2016,Central,13858,270561,1.1845456876656124,1.1427696518400567,0.05121950318042881
2016,Seven County Mpls-St Paul,19443,1706026,1.025582867391075,1.0674424381365217,0.011396661012200283
2016,Southwest,18893,177241,1.0217403060948569,1.014295279353107,0.10659497520325432
2016,Southeast,14942,241050,1.0825967251123025,1.0619925191317259,0.06198713959759386
2017,Northwest,13452,221341,1.302857142857143,1.0882590097841585,0.06077500327548895
2017,Northeast,270,143362,0.29933481152993346,1.031255170230979,0.0018833442613802821
2017,Central,14560,274927,1.2445508163090861,1.1612103446965056,0.05295951288887596
2017,Seven County Mpls-St Paul,19049,1739556,1.0048000843970883,1.0884218047761378,0.01095049541377225
2017,Southwest,19844,177443,1.0731707317073171,1.0154512627115249,0.11183309569833694
2017,Southeast,15128,242752,1.0960730328937835,1.0694910101815587,0.06231874505668336
2018,Northwest,13218,222678,1.2801937046004843,1.0948325876395102,0.05935925416969795
2018,Northeast,405,143648,0.4490022172949002,1.0333124725752965,0.002819391846736467
2018,Central,14746,276624,1.26044961107787,1.168377970847993,0.053307016021747936
2018,Seven County Mpls-St Paul,18855,1762242,0.9945669374406583,1.1026161952201081,0.010699438556112044
2018,Southwest,19477,176995,1.0533232383321616,1.0128874976393905,0.11004265657221955
2018,Southeast,14956,244576,1.0836110708592956,1.0775269958894875,0.061150726154651315
