NAICS,GROSS SALES,Taxable sales,sales tax,use tax,Total tax,Number
3363,"$260,642,847 ","$2,610,734 ","$169,697 ","$282,485 ","$452,182 ",44
3364,"$335,201,283 ","$4,422,652 ","$287,475 ","$78,318 ","$365,793 ",12
3366,"$382,570,155 ","$1,460,160 ","$94,911 ","$43,301 ","$138,212 ",13
3369,"$53,655,754 ","$3,300,059 ","$214,501 ","$12,619 ","$227,120 ",29
3370,"$504,696,905 ","$77,233,051 ","$5,020,157 ","$418,719 ","$5,438,876 ",317
3371,"$395,263,509 ","$40,190,138 ","$2,612,366 ","$868,010 ","$3,480,376 ",184
3372,"$205,735,396 ","$27,668,486 ","$1,798,456 ","$134,017 ","$1,932,473 ",64
3379,"$55,550,728 ","$2,508,180 ","$163,030 ","$48,297 ","$211,327 ",7
3390,"$4,405,556,185 ","$269,721,764 ","$17,510,425 ","$5,449,284 ","$22,959,709 ","1,104"
3391,"$1,059,395,356 ","$27,959,893 ","$1,817,397 ","$3,487,062 ","$5,304,459 ",260
3399,"$1,449,051,257 ","$140,595,160 ","$9,138,694 ","$1,493,918 ","$10,632,612 ",919
4231,"$3,765,513,897 ","$168,966,322 ","$11,253,821 ","$823,927 ","$12,077,748 ",447
4232,"$290,919,589 ","$72,528,447 ","$4,714,359 ","$154,748 ","$4,869,107 ",186
4233,"$1,998,084,866 ","$503,373,351 ","$32,719,262 ","$1,463,662 ","$34,182,924 ",345
4234,"$3,168,864,934 ","$779,593,357 ","$50,673,572 ","$7,196,789 ","$57,870,361 ",606
4235,"$1,292,422,914 ","$63,515,657 ","$4,128,519 ","$133,940 ","$4,262,459 ",84
4236,"$3,033,828,023 ","$976,014,686 ","$63,441,012 ","$560,523 ","$64,001,535 ",364
4237,"$1,645,820,611 ","$745,876,390 ","$48,481,980 ","$1,054,709 ","$49,536,689 ",388
4238,"$5,285,359,467 ","$1,049,331,132 ","$68,207,408 ","$1,570,119 ","$69,777,527 ","1,268"
