County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Wadena,"$672,319,635 ","$128,216,985 ","$8,925,713 ","$177,727 ","$9,103,440 ",428
Waseca,"$416,322,484 ","$95,186,259 ","$6,693,194 ","$795,208 ","$7,488,402 ",482
Washington,"$11,070,167,568 ","$2,154,733,411 ","$151,877,002 ","$8,942,762 ","$160,819,764 ","5,367"
Watonwan,"$614,989,860 ","$55,017,594 ","$3,852,141 ","$320,055 ","$4,172,196 ",309
Wilkin,"$371,373,330 ","$20,749,588 ","$1,468,976 ","$28,640 ","$1,497,616 ",161
Winona,"$2,273,932,385 ","$394,234,540 ","$27,637,491 ","$4,128,364 ","$31,765,855 ","1,280"
Wright,"$4,555,313,362 ","$1,093,300,428 ","$76,754,039 ","$3,799,241 ","$80,553,280 ","3,258"
Yellow Medicine,"$381,197,758 ","$47,229,657 ","$3,322,238 ","$118,313 ","$3,440,551 ",369
Non-Minnesota Co.,"$73,051,745,790 ","$12,185,996,626 ","$838,677,836 ","$87,788,325 ","$926,466,161 ","19,143"
Total,"$348,160,806,054 ","$73,865,027,871 ","$5,180,512,773 ","$481,473,341 ","$5,661,986,114 ","160,882"
