County,gross.sales,taxable.sales,sales.tax,use.tax,total.tax,number,year,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Cass,492029792,192732327,13065767,171713,13237480,1143,2008,21,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,391489841,92447519,6124831,1152407,7277238,457,2008,23,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,938170008,200957980,13520471,682817,14203288,1342,2008,25,D,Entirely urban,EDR 7E- East Central,Central
Clay,2329939595,359010396,23804173,1100090,24904263,1069,2008,27,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,265120512,29286993,1975811,892627,2868438,251,2008,29,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,181944456,90783105,6039421,111888,6151309,382,2008,31,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,641058964,62339040,4124338,211057,4335395,418,2008,33,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,2364788816,823444253,54605226,1790204,56395430,2360,2008,35,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,16851512494,4210725466,282034689,27030890,309065579,8847,2008,37,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,749161393,83270585,5529439,337924,5867363,497,2008,39,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,1680834097,581272619,38284649,819361,39104010,1501,2008,41,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,420168894,81156771,5385251,1028598,6413849,565,2008,43,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,942861438,115432786,7660006,255751,7915757,815,2008,45,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,1647042894,256939361,16962797,666710,17629507,992,2008,47,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,1473345174,304497260,20197964,988315,21186279,1501,2008,49,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,334031632,25420336,1693272,124522,1817794,269,2008,51,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,80763741744,19032686463,1266341484,88845236,1355186720,32006,2008,53,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,305019644,66176249,4413229,282303,4695532,547,2008,55,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,383543982,139161055,9303498,390728,9694226,792,2008,57,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,974364873,304422804,20133234,560918,20694152,931,2008,59,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,1353321865,360694828,23907574,938880,24846454,1456,2008,61,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,522092769,52730102,3480061,172569,3652630,425,2008,63,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,201837041,59177657,3935320,117327,4052647,451,2008,65,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,2056455020,481849703,31756174,1992298,33748472,1304,2008,67,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,115609125,19725087,1322049,38686,1360735,156,2008,69,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,896284095,97325986,6530670,1139142,7669812,437,2008,71,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac Qui Parle,293970952,28610230,1906490,167322,2073812,249,2008,73,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,229572373,79043341,5270134,3842054,9112188,426,2008,75,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake Of The Woods,100273049,46091622,3098940,21950,3120890,219,2008,77,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,526938786,94779880,6379494,364891,6744385,748,2008,79,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,131761703,26409111,1756083,75349,1831432,226,2008,81,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,1021626338,319757881,21048804,2768322,23817126,813,2008,83,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mcleod,1089483570,308651170,20361019,1469483,21830502,1075,2008,85,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Mahnomen,103727328,45434915,3066452,21083,3087535,125,2008,87,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,183540885,33219327,2228840,28350,2257190,254,2008,89,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,738013953,140517980,9306414,304112,9610526,700,2008,91,B,Town/rural mix,EDR 9 - South Central,Southwest
Meeker,871633956,124185477,8214893,354839,8569732,645,2008,93,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,742504925,151558114,10135135,176067,10311202,749,2008,95,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,693505977,184289230,12328463,237454,12565917,1067,2008,97,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,858063362,222551408,14787008,1944432,16731440,978,2008,99,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,209096039,44574949,2965892,69050,3034942,348,2008,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,881258306,147515780,9833148,914798,10747946,719,2008,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,649983400,164389195,10817291,664675,11481966,643,2008,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,180145997,32762678,2171841,38245,2210086,244,2008,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5379532673,1604609058,106138249,8375567,114513816,3417,2008,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,1883489902,563153575,37128138,1284717,38412855,2043,2008,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,1071973275,138652986,9179192,285879,9465071,432,2008,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,376092248,140068306,9440301,97012,9537313,764,2008,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,401189230,55691577,3691072,170744,3861816,355,2008,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,880968518,192980367,12849329,666956,13516285,786,2008,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,309458004,63192690,4212358,120668,4333026,372,2008,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,24093086446,5887182647,389471114,53206162,442677276,11552,2008,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,101927650,18435585,1225143,39086,1264229,111,2008,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,1385744429,121998764,8112873,542944,8655817,589,2008,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,638712901,75660914,5040874,243165,5284039,533,2008,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,1716036517,379643351,25244218,741884,25986102,1564,2008,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,257697155,46731259,3084842,119513,3204355,314,2008,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,698332877,95163008,6344852,641076,6985928,503,2008,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
St. Louis,7566474851,2106666557,139801322,13252567,153053889,5665,2008,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Scott,3711801001,1062144235,70598865,4262218,74861083,3021,2008,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,1972914893,562364312,37148571,1434505,38583076,2120,2008,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,431395160,32975789,2209419,206821,2416240,415,2008,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Stearns,7337516318,1522141648,100783908,6785274,107569182,4457,2008,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,3124859159,406141986,26764859,1888131,28652990,1075,2008,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,340773414,76946878,5081697,327925,5409622,354,2008,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,698874423,62045757,4131067,169600,4300667,341,2008,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,580722681,67267865,4541188,269505,4810693,664,2008,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,90345496,15326793,1024201,18048,1042249,142,2008,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,411699411,83876140,5651965,369633,6021598,739,2008,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,568046376,122816483,8082372,125207,8207579,491,2008,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,565675723,87152593,5796065,404140,6200205,526,2008,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,9203126025,1827632970,121495204,5938570,127433774,5098,2008,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,654362487,51957355,3450595,295878,3746473,350,2008,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,340914590,19471521,1298864,34619,1333483,145,2008,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,2311124606,361781782,23995344,4142983,28138327,1293,2008,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,3251907501,842671003,55855575,3617175,59472750,3097,2008,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,314612274,47200436,3151385,107721,3259106,374,2008,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Minnesota,291681003598,65335865879,4325158105,348890269,4674048374,159897,2008,0,NA,Minnesota,Minnesota,Minnesota
Aitkin,331320038,101682672,7019851,153392,7173243,557,2009,1,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,10316572147,2612194275,180957949,14367463,195325412,7404,2009,3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,736927845,260282379,17893055,626323,18519378,1063,2009,5,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,1069289642,387630566,26501989,1454753,27956742,1234,2009,7,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,1431086402,289741836,19840424,946374,20786798,983,2009,9,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,77409116,21442687,1477197,18173,1495370,223,2009,11,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,4796070174,1030691854,69869479,2099782,71969261,1851,2009,13,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,1046467870,206672500,14144644,526291,14670935,852,2009,15,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,780126790,193917201,13379258,1104890,14484148,882,2009,17,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,2362343092,535607580,36799103,2138427,38937530,2249,2009,19,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,444857454,181157911,12702725,136387,12839112,1146,2009,21,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,428317154,92674957,6323811,780512,7104323,464,2009,23,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,867149631,192773476,13321449,558768,13880217,1388,2009,25,D,Entirely urban,EDR 7E- East Central,Central
Clay,1700819665,352315444,24093885,1041595,25135480,1059,2009,27,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,210153901,29227985,2029112,163463,2192575,256,2009,29,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,167225004,84233036,5794221,102777,5896998,398,2009,31,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,695952405,60885423,4146339,191277,4337616,412,2009,33,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,2151271422,766416435,52460384,1281900,53742284,2362,2009,35,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,14778507861,3772668491,258563716,21121813,279685529,8988,2009,37,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,510264439,68563030,4702189,193011,4895200,483,2009,39,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,1523183752,535268496,36354243,857482,37211725,1480,2009,41,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,392455102,74389402,5091627,561085,5652712,561,2009,43,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,683323191,109183161,7479560,150139,7629699,815,2009,45,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,1427919300,241693108,16441933,1181488,17623421,984,2009,47,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,1353844451,288380578,19721052,686990,20408042,1501,2009,49,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,333961061,25662096,1761643,44129,1805772,258,2009,51,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,78298199594,17264028477,1182434560,84960210,1267394770,32664,2009,53,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,268894120,63902585,4397197,220033,4617230,545,2009,55,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,400760332,137181187,9465963,329613,9795576,780,2009,57,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,897611402,299616307,20418044,489159,20907203,941,2009,59,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,1226720250,359210521,24568417,510743,25079160,1432,2009,61,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,484147061,50403656,3431282,151358,3582640,415,2009,63,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,184899243,57035851,3922402,129021,4051423,449,2009,65,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,1888400253,451659986,30692264,2268249,32960513,1329,2009,67,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,108358305,19260283,1334089,37504,1371593,159,2009,69,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,847763162,89744469,6220456,1160912,7381368,427,2009,71,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac Qui Parle,260805548,27466577,1892737,201112,2093849,246,2009,73,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,206570863,73644137,5077854,3437126,8514980,417,2009,75,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake Of The Woods,94252855,45328121,3128674,26663,3155337,218,2009,77,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,424277962,86694730,6009967,300817,6310784,746,2009,79,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,117599135,25659747,1753745,54226,1807971,235,2009,81,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,1334568731,307598529,20819649,2460374,23280023,797,2009,83,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mcleod,1226731825,288406589,19608129,1075971,20684100,1085,2009,85,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Mahnomen,81648829,43851879,3047644,14576,3062220,121,2009,87,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,172130767,36559342,2518252,57180,2575432,257,2009,89,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,768742251,129533992,8841926,904259,9746185,701,2009,91,B,Town/rural mix,EDR 9 - South Central,Southwest
Meeker,688089537,109480113,7483569,774559,8258128,657,2009,93,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,558820200,125586903,8678858,143807,8822665,744,2009,95,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,691985319,176350092,12159243,201422,12360665,1064,2009,97,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,870965096,219592988,15016238,1370045,16386283,961,2009,99,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,222675133,41411288,2849280,125221,2974501,347,2009,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,750899420,142746934,9839181,1033294,10872475,750,2009,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,636457602,162039679,10989885,359841,11349726,637,2009,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,165631726,30222378,2059280,183201,2242481,238,2009,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,4663213641,1545887557,105356251,9289037,114645288,3466,2009,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,1632842475,552108113,37500725,1189117,38689842,2041,2009,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,775690357,141855847,9683300,222651,9905951,417,2009,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,375565838,137455179,9522444,89970,9612414,760,2009,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,340615086,51860763,3540049,112498,3652547,360,2009,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,815971215,187359042,12878145,501089,13379234,774,2009,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,258463660,60463567,4157710,129814,4287524,374,2009,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,22516087891,5571524723,378375631,52681192,431056823,11790,2009,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,78603623,16269466,1113993,35452,1149445,112,2009,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,956721549,119181899,8164064,562430,8726494,584,2009,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,414439249,64012850,4403024,364991,4768015,512,2009,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,1801071227,361117530,24720545,582588,25303133,1539,2009,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,224752521,43801494,2979285,116644,3095929,300,2009,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,562618630,92175677,6294592,562543,6857135,509,2009,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
St. Louis,6704791232,2001858761,136892658,21333967,158226625,5603,2009,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Scott,3113093226,985016640,67730091,3349489,71079580,3111,2009,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,1778039037,491117051,33453082,1190854,34643936,2190,2009,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,368243302,33086335,2284062,176628,2460690,416,2009,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Stearns,6669004215,1464524061,99923225,5540606,105463831,4492,2009,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,2844205882,386962519,26257721,1189971,27447692,1103,2009,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,295176306,74923900,5101895,412311,5514206,355,2009,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,562548995,59868654,4109300,87361,4196661,344,2009,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,549808127,65479065,4556488,244104,4800592,674,2009,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,75284187,15933353,1098917,23553,1122470,141,2009,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,375927190,82733088,5741104,269653,6010757,740,2009,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,497505797,113068585,7677754,115482,7793236,488,2009,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,492023874,86398855,5929291,302469,6231760,532,2009,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,7651774581,1721300735,118027415,5679159,123706574,5176,2009,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,529539102,50789344,3473077,302446,3775523,358,2009,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,314000411,18860781,1294861,33338,1328199,150,2009,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,2030317235,332070576,22690921,1755423,24446344,1315,2009,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,3466754885,819586596,56022076,2435780,58457856,3182,2009,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,313455747,45769934,3150185,89167,3239352,380,2009,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Minnesota,266666158772,60456206139,4122844215,317675273,4440519488,161698,2009,0,NA,Minnesota,Minnesota,Minnesota
Aitkin,340640113,100864950,7139175,200328,7339503,568,2010,1,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,10542860659,2722178496,196252665,15676024,211928689,7344,2010,3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,783568058,268239153,18912200,704182,19616382,1078,2010,5,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,1132312627,394040856,27630995,1361812,28992807,1250,2010,7,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,1532681525,300268987,21126033,1284421,22410454,991,2010,9,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,87252847,21386223,1512601,22956,1535557,219,2010,11,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,4690157738,1000433717,69682679,2236907,71919586,1824,2010,13,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,1182774019,215927769,15164092,460778,15624870,852,2010,15,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,824217136,190958108,13537535,1182739,14720274,858,2010,17,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,2768715242,610924196,42963214,2460615,45423829,2234,2010,19,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,475410167,188248636,13475422,221331,13696753,1151,2010,21,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,515832198,105428191,7395433,713720,8109153,462,2010,23,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,956170846,204535234,14508882,464034,14972916,1375,2010,25,D,Entirely urban,EDR 7E- East Central,Central
Clay,1869857430,362841710,25473043,1417964,26891007,1051,2010,27,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,264487487,29270399,2080569,242130,2322699,255,2010,29,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,177307665,87075903,6116438,96370,6212808,407,2010,31,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,609724874,62377713,4366780,243643,4610423,412,2010,33,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,2214913701,771022469,54153379,1429702,55583081,2372,2010,35,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,15622656683,3823921614,267687137,19134524,286821661,8914,2010,37,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,514523108,69265832,4883024,308535,5191559,462,2010,39,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,1510293149,465502798,32540282,894039,33434321,1463,2010,41,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,402112854,81030887,5679990,889836,6569826,540,2010,43,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,771491557,115118200,8081857,253006,8334863,817,2010,45,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,1508355725,258631356,18060399,1425449,19485848,969,2010,47,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,1462190166,295426660,20755942,693113,21449055,1469,2010,49,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,351154570,25048125,1755720,36858,1792578,247,2010,51,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,78672066986,17814758179,1252439904,89136164,1341576068,32659,2010,53,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,278375023,65352253,4616607,166246,4782853,543,2010,55,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,425465376,136350741,9654368,238194,9892562,791,2010,57,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,916286705,307556375,21489097,465586,21954683,952,2010,59,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,1269879947,359101661,25203067,537205,25740272,1425,2010,61,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,420331754,54257795,3790477,213507,4003984,435,2010,63,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,188667960,55502425,3922723,168336,4091059,417,2010,65,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,1896931591,470893190,32856779,2113024,34969803,1308,2010,67,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,120883874,19089124,1353547,54658,1408205,148,2010,69,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,867547871,95624787,6783035,1519784,8302819,425,2010,71,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac Qui Parle,276045740,27879213,1973292,314471,2287763,236,2010,73,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,222159604,75256764,5320035,4783910,10103945,415,2010,75,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake Of The Woods,108536755,48669009,3454310,33391,3487701,229,2010,77,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,535906206,90932187,6463312,287452,6750764,753,2010,79,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,131199532,26177615,1837668,88513,1926181,224,2010,81,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,1781789640,289776270,20183428,2217416,22400844,821,2010,83,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mahnomen,77286758,41875342,2980229,17152,2997381,100,2010,87,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,164057980,35794631,2529426,33756,2563182,254,2010,89,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,1003563398,133699918,9371443,383222,9754665,698,2010,91,B,Town/rural mix,EDR 9 - South Central,Southwest
Mcleod,1034686216,291033310,20318575,1151294,21469869,1057,2010,85,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Meeker,801208640,123266816,8619727,467117,9086844,654,2010,93,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,649411723,126438348,8979905,156753,9136658,751,2010,95,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,853809232,180306393,12762667,270697,13033364,1074,2010,97,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,807147643,222550369,15615342,1686996,17302338,947,2010,99,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,272917592,42774741,3012211,130588,3142799,332,2010,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,878787614,156938410,11077248,756318,11833566,744,2010,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,671869902,169803183,11815716,521665,12337381,656,2010,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,168867287,23640639,1668066,552696,2220762,230,2010,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5023803549,1569119548,109737839,10745093,120482932,3473,2010,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,2020801425,571604005,39856092,1289375,41145467,2001,2010,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,840537840,141812970,9929665,336417,10266082,399,2010,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,383873226,138924825,9912354,82182,9994536,772,2010,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,293646085,52508606,3672456,125107,3797563,348,2010,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,844424456,192165159,13533322,539852,14073174,783,2010,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,285557154,54900861,3874633,218107,4092740,378,2010,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,23839668597,5551086481,388548582,56086549,444635131,11740,2010,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
