County,gross.sales,taxable.sales,sales.tax,use.tax,total.tax,number,year,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Minnesota,220419605242,57480774963,3797866384,238883425,4036749809,147056,2003,0,NA,Minnesota,Minnesota,Minnesota
Aitkin,415621491,110258693,7358967,132766,7491733,535,2004,1,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,10323687400,2750415119,184477332,13813183,198290515,7047,2004,3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,740009542,234205376,15551827,1058227,16610054,1067,2004,5,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,888697281,389922328,25665831,1018949,26684780,1168,2004,7,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,1891729996,324381366,21508334,1356150,22864484,918,2004,9,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,47674280,18995383,1269873,18526,1288399,227,2004,11,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,2601675944,912077654,59985890,1986840,61972730,1766,2004,13,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,803672046,193248069,12775342,497110,13272452,852,2004,15,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,820122625,209683999,13922575,2353013,16275588,854,2004,17,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,2225749620,548963421,36444335,1725709,38170044,1971,2004,19,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,489021473,198105170,13310341,162896,13473237,1076,2004,21,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,310242496,76421017,5070674,331323,5401997,443,2004,23,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,925776272,247061805,16378216,538461,16916677,1261,2004,25,D,Entirely urban,EDR 7E- East Central,Central
Clay,1059748492,302362289,20092429,729426,20821855,1062,2004,27,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,221977227,29203875,1970534,225257,2195791,267,2004,29,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,134851932,82506261,5478758,102908,5581666,377,2004,31,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,251724714,53348462,3538489,136288,3674777,422,2004,33,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,2161780612,855867008,56397522,1561777,57959299,2290,2004,35,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,15185487179,4194162299,276537013,22570567,299107580,8376,2004,37,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
