planning.region,year,farm.earnings,total.earnings,ag.related.wages,total.wages
Northwest Minnesota,2009,343932,10493308,394218158,6427218261
Northwest Minnesota,2010,663182,11274510,414487004,6549110454
Northwest Minnesota,2011,865685,11944169,445443514,6781993502
Northwest Minnesota,2012,1572586,13285067,485762476.6666667,7110350820
Northwest Minnesota,2013,1557188,13420455,500399475,7388984292
Northwest Minnesota,2014,850456,13153227,527696234,7749530943
Northwest Minnesota,2015,717590,13500557,551341222,8069690920
Northwest Minnesota,2016,473856,13656683,578482108,8333921031
Northwest Minnesota,2017,506187,13983594,626763092,8691524714
Seven County Mpls-St Paul,2001,84294,91014647,796403543.3333334,66767511603
Seven County Mpls-St Paul,2002,94771,92249058,770644524.5,66784808586
Seven County Mpls-St Paul,2003,119680,95664383,816598336,68597513367
Seven County Mpls-St Paul,2004,133264,102175260,818691153,72574210852
Seven County Mpls-St Paul,2005,136942,104943961,848541881,74379206682
Seven County Mpls-St Paul,2006,128269,108443489,923354831.8333334,77690747983
Seven County Mpls-St Paul,2007,125799,114457219,1042830175,82491586289
Seven County Mpls-St Paul,2008,160805,116363140,1004819892,84473682409
Seven County Mpls-St Paul,2009,144306,109734319,1049766012,79224688986
Seven County Mpls-St Paul,2010,166572,113325291,1075747467,81509860905
Seven County Mpls-St Paul,2011,204060,119924635,1183992402,85060252743
Seven County Mpls-St Paul,2012,248599,126419121,1159822715,89014244781
Seven County Mpls-St Paul,2013,222845,130498093,1279356249,91638755748
Seven County Mpls-St Paul,2014,173671,137237608,1251177909,95598596411
Seven County Mpls-St Paul,2015,172415,143690578,1265030895,101065439446
Seven County Mpls-St Paul,2016,124912,148213866,1262411841,103885975160
Seven County Mpls-St Paul,2017,135151,154115990,1348451069,109457867502
Southeast Minnesota,2001,142707,10078045,461188607.6666667,7051762968
Southeast Minnesota,2002,119305,10538462,484950200,7314391530
Southeast Minnesota,2003,187900,11116441,504861336,7536932819
Southeast Minnesota,2004,391972,11888500,515944082,7920183796
Southeast Minnesota,2005,465161,12019780,509462114,8114744584
Southeast Minnesota,2006,352553,12360568,505007665,8568454139
Southeast Minnesota,2007,378308,12840702,515472407,8920526611
Southeast Minnesota,2008,456729,13381215,519194419,9266272372
Southeast Minnesota,2009,232582,13104725,530842528.3333333,9104039845
Southeast Minnesota,2010,431835,13945273,541612053,9603872602
Southeast Minnesota,2011,741991,14424272,564439132,9586008311
Southeast Minnesota,2012,962733,15295370,590863412,10030549750
Southeast Minnesota,2013,580083,15247636,613847483.6666666,10318075744
Southeast Minnesota,2014,358540,15541019,622629873,10598867440
Southeast Minnesota,2015,182652,16037834,674971916,11164582783
Southeast Minnesota,2016,-151317,16258225,712776153,11568166511
Southeast Minnesota,2017,45304,16882902,744536099,12084320710
Southwest Minnesota,2001,424885,7000259,554413075,4332400061
Southwest Minnesota,2002,427771,7337166,590001466,4479445828
Southwest Minnesota,2003,614435,7745881,531265406,4591449549
Southwest Minnesota,2004,1104155,8660042,538780376,4797101744
Southwest Minnesota,2005,1344586,9110144,551381306,4928352268
Southwest Minnesota,2006,1078103,9192896,556878413,5203936206
Southwest Minnesota,2007,1089593,9324504,588232258,5348227884
Southwest Minnesota,2008,1560121,9923904,640321107.5,5598113047
Southwest Minnesota,2009,1067735,9293629,671321320,5458067945
Southwest Minnesota,2010,1403015,9936653,717677389,5564632862
Southwest Minnesota,2011,1952538,10940743,721137511,5750188383
Southwest Minnesota,2012,2351352,11734137,752652611,5998637409
Southwest Minnesota,2013,2559075,12130012,854843055,6215873470
Southwest Minnesota,2014,1640769,11781108,800335124.5,6457933616
Southwest Minnesota,2015,1445373,11957677,902763359,6712923151
Southwest Minnesota,2016,513380,11067840,913025503.5,6882834811
Southwest Minnesota,2017,746524,11456447,1010795102,7187135436
