county.fips,county,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
27055,"Houston, MN",922,823,755,1168,795,116,254,116,122,1062,361,276,331,912,2577,3225,2548,5933,9522,7998,6280,4177,3432,3474,6147,5441,4412,3172,3722,6232,10428,11059,8825,5350,7436,6128,11047,7548,4378,4964,7058,4677,4540,5458,4325,2019,8468,7101
27057,"Hubbard, MN",378,353,225,336,226,183,178,295,256,262,191,167,247,216,690,653,415,635,1058,1181,1308,641,552,651,1067,724,514,522,492,659,1421,1235,1536,1029,980,471,2087,714,420,1185,499,968,513,537,541,260,742,1052
27059,"Isanti, MN",749,684,403,661,383,143,214,179,200,704,413,368,318,736,2953,1916,1981,2903,5023,4294,2619,1959,1545,1540,2693,1940,1657,1191,1480,2651,4761,4603,4431,1297,2224,1756,4624,2565,1427,2087,1457,1418,1410,1446,1308,860,3373,471
27061,"Itasca, MN",50,(L),51,59,(L),(L),63,72,113,136,(L),69,178,66,110,426,138,160,156,167,531,85,82,71,156,199,143,112,52,79,194,253,157,212,258,113,298,98,120,178,132,1220,254,258,284,339,404,222
27063,"Jackson, MN",4983,4103,3202,5143,2326,210,401,1040,488,2345,894,666,492,2621,12408,3833,8917,16904,27276,20953,9375,9408,7281,8342,20179,18846,10586,5312,7810,17492,29383,30682,26202,7611,13234,14612,28692,17666,8571,8521,7711,8598,7999,8260,7651,3362,19470,11363
27065,"Kanabec, MN",397,343,213,346,201,283,75,188,383,329,95,77,89,135,735,2113,853,1372,2602,2169,1967,1070,694,617,1056,1037,571,497,544,1063,1824,2021,1357,630,1678,784,1976,1247,692,911,883,638,540,790,673,402,1327,252
27067,"Kandiyohi, MN",3511,3115,2127,3571,2012,151,765,561,865,2308,1913,1369,1448,3210,11275,7675,7262,13714,24351,20366,12331,10090,7483,7348,14474,12512,8212,6375,7611,15039,25462,25487,23432,9534,14468,13050,26690,14950,9054,9744,10644,10275,9859,11008,11366,6233,24172,16834
27069,"Kittson, MN",2716,2751,2029,3309,2632,547,584,137,2711,8057,1767,5813,3675,7753,15881,32350,11690,22361,20776,21075,10682,13004,14391,12423,17493,16261,11989,10291,9811,15521,26294,25778,19197,9323,18847,11230,18978,10404,13846,15128,9632,12350,12546,11680,11674,5434,12027,15572
27071,"Koochiching, MN",80,81,65,87,(L),59,63,83,100,96,(L),(L),116,132,196,434,197,555,408,434,459,307,231,256,353,240,280,224,140,214,387,450,252,129,454,149,362,148,150,291,188,258,304,459,531,721,514,627
27073,"Lac qui Parle, MN",3511,3226,2319,3646,2167,103,443,3365,2701,3157,1726,1061,1352,2877,11996,5938,7515,15194,22069,21668,10351,10379,7925,8045,15424,10428,7358,6993,7320,14522,26305,27635,25445,8787,12594,13804,27624,14459,8769,9227,8589,22995,9261,9369,9806,4611,17885,19525
27075,"Lake, MN",(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),0,(L),(L),(L),(L),(L),0,0,(L),0,(L),(L),(L),(L),(L),(L),51,(L)
27077,"Lake of the Woods, MN",140,155,98,134,56,(L),(L),50,156,508,149,182,336,489,1099,2322,886,1812,1790,1457,924,1180,1279,1316,1418,1043,921,919,860,1299,1539,3216,1622,662,2071,793,1575,751,798,1461,744,936,942,954,1011,1103,1346,2117
27079,"Le Sueur, MN",2254,1938,1439,2363,1305,322,205,155,258,1418,749,927,492,1770,5151,3606,4533,7950,15859,12899,7422,6439,5320,5322,8266,5326,6247,4857,5424,9941,15788,16743,14483,5213,8120,8619,16383,9682,5753,6091,6224,5957,6241,6190,7180,2822,14845,5301
