year,cash.receipts,countyfp,other.income,expenses,net.income,Total.acres,Dem_RUCA,Dem_Desc,edr,planning.region
2010,292452000,033,19059000,240545000,54369000,383071,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2010,40759000,035,1511000,19705000,22040000,67850,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2010,222445000,037,13238000,176882000,47467000,174958,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,213718000,039,11527000,182364000,30775000,247698,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
2010,85426000,041,8853000,77616000,10853000,242034,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2010,317636000,043,20236000,270969000,43303000,413502,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2010,266422000,045,25902000,240226000,36861000,457495,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2010,302763000,047,24957000,267862000,41419000,378590,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2010,316948000,049,19219000,276930000,41651000,366664,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2010,133498000,051,17861000,116931000,21897000,300399,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
2010,64389000,053,7333000,55005000,14912000,45780,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,106405000,055,8918000,93444000,16835000,178023,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2010,39039000,057,2707000,33036000,6793000,84811,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
2010,42925000,059,3360000,45829000,-2808000,192918,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2010,10016000,061,1620000,10532000,873000,65965,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2010,318970000,063,18528000,239245000,80493000,408955,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2010,28114000,065,1508000,25634000,2746000,109430,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2010,365180000,067,20688000,306471000,64458000,376572,B,Town/rural mix,EDR  6E- Southwest Central,Central Minnesota
2010,112003000,069,21642000,107066000,20011000,475221,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
2010,8200000,071,767000,6256000,2605000,106207,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2010,228246000,073,33249000,185127000,59571000,431947,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2010,399000,075,47000,457000,-53000,1104,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2010,9723000,077,2120000,10367000,1053000,78624,A,Entirely rural,EDR  2 - Headwaters,Northwest Minnesota
2010,170865000,079,13506000,157900000,17205000,204048,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2010,166419000,081,16008000,143841000,28690000,315031,A,Entirely rural,EDR  8 - Southwest,Southwest Minnesota
2010,354383000,083,16980000,290397000,62295000,409234,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2010,165019000,085,10933000,152238000,11707000,259292,C,Urban/town/rural mix,EDR  6E- Southwest Central,Central Minnesota
2010,53769000,087,9130000,58208000,-732000,181705,A,Entirely rural,EDR  2 - Headwaters,Northwest Minnesota
2010,198683000,089,35198000,203713000,16515000,845179,C,Urban/town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2010,480373000,091,22070000,393654000,89843000,430382,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2010,232466000,093,15084000,202616000,33428000,307246,B,Town/rural mix,EDR  6E- Southwest Central,Central Minnesota
2010,40985000,095,2409000,38480000,3163000,116496,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2010,328664000,097,8619000,251857000,80587000,484471,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2010,360922000,099,27288000,312551000,54770000,405969,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2010,299552000,101,19600000,232788000,69299000,404818,A,Entirely rural,EDR  8 - Southwest,Southwest Minnesota
2010,317862000,103,14191000,255018000,66395000,236635,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2010,410626000,105,16829000,314210000,96988000,399515,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2010,201602000,107,20553000,179987000,30113000,477145,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
