GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27127,"Redwood, MN",43767,14358,24590,26241,48000,29021,19221,40517,31879,23749,42058,48072,53899,75548,72197,53775,35097,72704
27129,"Renville, MN",53545,19619,32329,31800,56107,35348,24971,46789,38920,25826,44590,46707,57747,84865,83345,44955,36894,69356
27131,"Rice, MN",21109,10219,15657,14495,24111,18179,13745,20542,19014,11743,16784,19560,28911,33640,31445,17647,21016,24453
27133,"Rock, MN",24374,9055,14373,16014,28298,18713,12550,19458,15577,11328,13817,23706,21853,40971,45389,21761,15718,27052
27135,"Roseau, MN",27131,16282,27567,18360,27124,17491,18338,23831,28493,20888,24713,20235,36208,35536,41676,39377,29813,35058
27137,"St. Louis, MN",3361,3144,3903,3047,2979,2601,2309,2499,2015,2070,1697,2244,3048,3375,5700,4658,2336,2859
27139,"Scott, MN",9433,5009,11081,11995,17828,15946,15288,17260,11890,6806,8891,10294,15800,18061,16046,10279,7381,8644
27141,"Sherburne, MN",4953,2313,4839,5498,8910,7114,6775,5847,3770,3675,3699,5148,5632,8587,5463,4459,5080,5602
27143,"Sibley, MN",30260,11971,19572,19053,32834,21044,14934,24597,22987,14818,27976,33542,49219,67171,63959,32040,28204,38821
27145,"Stearns, MN",40743,27220,54562,47579,69801,62777,54957,54209,46879,24991,33104,50746,89883,75909,68247,50325,35173,49217
27147,"Steele, MN",21102,9314,12931,13230,24085,14718,9752,21602,20731,13442,18102,20519,46240,37058,30648,16104,20573,27048
27149,"Stevens, MN",27003,8672,15278,17424,30066,18208,13190,25177,20951,15054,28305,20297,25974,35703,30664,19954,19734,31813
27151,"Swift, MN",32988,12877,20147,22506,40141,26943,20798,35031,30301,22700,26761,28254,28349,50365,45278,23655,26818,40033
27153,"Todd, MN",11736,7688,15133,11687,21649,17594,15750,18353,13624,9100,10990,13725,30450,29031,28505,16806,10692,16508
27155,"Traverse, MN",23911,6969,14490,18032,31185,22562,20476,39123,23507,24199,43152,27209,41001,49343,55829,36148,24835,35057
27157,"Wabasha, MN",17355,11294,16803,14059,20938,15045,10574,18596,19881,11408,13614,19149,31680,30303,34471,20216,22156,22013
27159,"Wadena, MN",3786,2884,3903,3941,6315,5064,4583,7077,5124,3659,3585,5161,8744,6904,10094,6823,3897,5113
27161,"Waseca, MN",22583,8918,13484,14501,26979,17068,11777,23619,20675,14177,17556,19710,42163,42508,43964,18006,18715,25127
27163,"Washington, MN",8057,5277,9130,9281,13243,11231,10594,11619,8234,6626,7255,9457,14358,17104,12400,10538,10084,11797
27165,"Watonwan, MN",24871,8422,13201,15023,26154,17538,11779,20711,19398,12788,14746,18425,20482,28211,30128,19432,23922,32544
27167,"Wilkin, MN",27201,10839,18419,19676,25199,21739,21208,41164,29888,27998,28168,19420,24141,35466,27541,19978,19376,28208
27169,"Winona, MN",20602,13498,19538,15634,21826,16629,12284,18920,21304,10913,12274,18617,28942,24302,23337,15593,15413,20826
27171,"Wright, MN",19303,10806,18544,16454,24737,18393,15356,22153,15992,9358,14190,16621,21700,38774,20371,12842,12949,19480
27173,"Yellow Medicine, MN",32899,10557,16342,18634,34427,19702,12731,41037,30765,27402,29730,37689,57527,68581,104353,58692,32181,47687
