edr,year,sales.type,dollars
EDR 3 - Arrowhead,2007,gross.sales,11538548042
EDR 3 - Arrowhead,2007,sales.tax,218051213
EDR 3 - Arrowhead,2007,taxable.sales,3288288311
EDR 3 - Arrowhead,2007,total.tax,237551637
EDR 3 - Arrowhead,2007,use.tax,19500424
EDR 3 - Arrowhead,2008,gross.sales,11394947343
EDR 3 - Arrowhead,2008,sales.tax,200589772
EDR 3 - Arrowhead,2008,taxable.sales,3018667482
EDR 3 - Arrowhead,2008,total.tax,221116119
EDR 3 - Arrowhead,2008,use.tax,20526347
EDR 3 - Arrowhead,2009,gross.sales,10264517339
EDR 3 - Arrowhead,2009,sales.tax,198952715
EDR 3 - Arrowhead,2009,taxable.sales,2904290797
EDR 3 - Arrowhead,2009,total.tax,226756522
EDR 3 - Arrowhead,2009,use.tax,27803807
EDR 3 - Arrowhead,2010,gross.sales,10848647764
EDR 3 - Arrowhead,2010,sales.tax,207045967
EDR 3 - Arrowhead,2010,taxable.sales,2946466618
EDR 3 - Arrowhead,2010,total.tax,231408739
EDR 3 - Arrowhead,2010,use.tax,24362772
EDR 3 - Arrowhead,2011,gross.sales,11926046990
EDR 3 - Arrowhead,2011,sales.tax,213300015
EDR 3 - Arrowhead,2011,taxable.sales,3033672798
EDR 3 - Arrowhead,2011,total.tax,241988982
EDR 3 - Arrowhead,2011,use.tax,28688967
EDR 3 - Arrowhead,2012,gross.sales,11977179532
EDR 3 - Arrowhead,2012,sales.tax,225592526
EDR 3 - Arrowhead,2012,taxable.sales,3210112268
EDR 3 - Arrowhead,2012,total.tax,258470624
EDR 3 - Arrowhead,2012,use.tax,32878098
EDR 3 - Arrowhead,2013,gross.sales,12493755550
EDR 3 - Arrowhead,2013,sales.tax,228349084
EDR 3 - Arrowhead,2013,taxable.sales,3245270435
EDR 3 - Arrowhead,2013,total.tax,260977411
EDR 3 - Arrowhead,2013,use.tax,32628327
EDR 3 - Arrowhead,2014,gross.sales,13109083136
EDR 3 - Arrowhead,2014,sales.tax,237564640
EDR 3 - Arrowhead,2014,taxable.sales,3375279652
EDR 3 - Arrowhead,2014,total.tax,278252256
EDR 3 - Arrowhead,2014,use.tax,40687616
EDR 3 - Arrowhead,2015,gross.sales,12375721372
EDR 3 - Arrowhead,2015,sales.tax,243309266
EDR 3 - Arrowhead,2015,taxable.sales,3455246245
EDR 3 - Arrowhead,2015,total.tax,271460048
EDR 3 - Arrowhead,2015,use.tax,28150782
EDR 3 - Arrowhead,2016,gross.sales,12063557674
EDR 3 - Arrowhead,2016,sales.tax,244303269
EDR 3 - Arrowhead,2016,taxable.sales,3466744101
EDR 3 - Arrowhead,2016,total.tax,259305362
EDR 3 - Arrowhead,2016,use.tax,15002093
EDR 3 - Arrowhead,2017,gross.sales,11533215479
EDR 3 - Arrowhead,2017,sales.tax,246491207
EDR 3 - Arrowhead,2017,taxable.sales,3496181158
EDR 3 - Arrowhead,2017,total.tax,266018663
EDR 3 - Arrowhead,2017,use.tax,19527456
EDR 4 - West Central,2003,gross.sales,5170144614
EDR 4 - West Central,2003,sales.tax,109093168
EDR 4 - West Central,2003,taxable.sales,1653314483
EDR 4 - West Central,2003,total.tax,113863395
EDR 4 - West Central,2003,use.tax,4770227
EDR 4 - West Central,2004,gross.sales,5642462692
EDR 4 - West Central,2004,sales.tax,120137205
EDR 4 - West Central,2004,taxable.sales,1820438930
EDR 4 - West Central,2004,total.tax,124081068
EDR 4 - West Central,2004,use.tax,3943863
EDR 4 - West Central,2005,gross.sales,5965529512
EDR 4 - West Central,2005,sales.tax,123647814
EDR 4 - West Central,2005,taxable.sales,1872533561
EDR 4 - West Central,2005,total.tax,128187933
EDR 4 - West Central,2005,use.tax,4540119
EDR 4 - West Central,2006,gross.sales,6557272216
EDR 4 - West Central,2006,sales.tax,126153505
EDR 4 - West Central,2006,taxable.sales,1909911821
EDR 4 - West Central,2006,total.tax,130952005
EDR 4 - West Central,2006,use.tax,4798500
EDR 4 - West Central,2007,gross.sales,7145480055
EDR 4 - West Central,2007,sales.tax,134386837
EDR 4 - West Central,2007,taxable.sales,2033340907
EDR 4 - West Central,2007,total.tax,139359578
EDR 4 - West Central,2007,use.tax,4972741
EDR 4 - West Central,2008,gross.sales,8065414046
EDR 4 - West Central,2008,sales.tax,130430985
EDR 4 - West Central,2008,taxable.sales,1972540059
EDR 4 - West Central,2008,total.tax,135055963
EDR 4 - West Central,2008,use.tax,4624978
EDR 4 - West Central,2009,gross.sales,6870659362
EDR 4 - West Central,2009,sales.tax,129256934
EDR 4 - West Central,2009,taxable.sales,1895818129
EDR 4 - West Central,2009,total.tax,133614596
EDR 4 - West Central,2009,use.tax,4357662
EDR 4 - West Central,2010,gross.sales,7515832117
EDR 4 - West Central,2010,sales.tax,130225495
EDR 4 - West Central,2010,taxable.sales,1859556060
EDR 4 - West Central,2010,total.tax,135226924
EDR 4 - West Central,2010,use.tax,5001429
EDR 4 - West Central,2011,gross.sales,8526599487
EDR 4 - West Central,2011,sales.tax,135175037
EDR 4 - West Central,2011,taxable.sales,1930362049
EDR 4 - West Central,2011,total.tax,141086710
EDR 4 - West Central,2011,use.tax,5911673
EDR 4 - West Central,2012,gross.sales,9210879946
EDR 4 - West Central,2012,sales.tax,142786892
EDR 4 - West Central,2012,taxable.sales,2039232843
EDR 4 - West Central,2012,total.tax,149547789
EDR 4 - West Central,2012,use.tax,6760897
