YEAR,COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER 
2009,KOOCHICHING,"$847,763,162 ","$89,744,469 ","$6,220,456 ","$1,160,912 ","$7,381,368 ",427
2009,LAC QUI PARLE,"$260,805,548 ","$27,466,577 ","$1,892,737 ","$201,112 ","$2,093,849 ",246
2009,LAKE,"$206,570,863 ","$73,644,137 ","$5,077,854 ","$3,437,126 ","$8,514,980 ",417
2009,LAKE OF THE WOODS,"$94,252,855 ","$45,328,121 ","$3,128,674 ","$26,663 ","$3,155,337 ",218
2009,LE SUEUR,"$424,277,962 ","$86,694,730 ","$6,009,967 ","$300,817 ","$6,310,784 ",746
2009,LINCOLN,"$117,599,135 ","$25,659,747 ","$1,753,745 ","$54,226 ","$1,807,971 ",235
2009,LYON,"$1,334,568,731 ","$307,598,529 ","$20,819,649 ","$2,460,374 ","$23,280,023 ",797
2009,MCLEOD,"$1,226,731,825 ","$288,406,589 ","$19,608,129 ","$1,075,971 ","$20,684,100 ","1,085"
2009,MAHNOMEN,"$81,648,829 ","$43,851,879 ","$3,047,644 ","$14,576 ","$3,062,220 ",121
2009,MARSHALL,"$172,130,767 ","$36,559,342 ","$2,518,252 ","$57,180 ","$2,575,432 ",257
2009,MARTIN,"$768,742,251 ","$129,533,992 ","$8,841,926 ","$904,259 ","$9,746,185 ",701
2009,MEEKER,"$688,089,537 ","$109,480,113 ","$7,483,569 ","$774,559 ","$8,258,128 ",657
2009,MILLE LACS,"$558,820,200 ","$125,586,903 ","$8,678,858 ","$143,807 ","$8,822,665 ",744
2009,MORRISON,"$691,985,319 ","$176,350,092 ","$12,159,243 ","$201,422 ","$12,360,665 ","1,064"
2009,MOWER,"$870,965,096 ","$219,592,988 ","$15,016,238 ","$1,370,045 ","$16,386,283 ",961
2009,MURRAY,"$222,675,133 ","$41,411,288 ","$2,849,280 ","$125,221 ","$2,974,501 ",347
2009,NICOLLET,"$750,899,420 ","$142,746,934 ","$9,839,181 ","$1,033,294 ","$10,872,475 ",750
2009,NOBLES,"$636,457,602 ","$162,039,679 ","$10,989,885 ","$359,841 ","$11,349,726 ",637
2009,NORMAN,"$165,631,726 ","$30,222,378 ","$2,059,280 ","$183,201 ","$2,242,481 ",238
2009,OLMSTED,"$4,663,213,641 ","$1,545,887,557 ","$105,356,251 ","$9,289,037 ","$114,645,288 ","3,466"
2009,OTTER TAIL,"$1,632,842,475 ","$552,108,113 ","$37,500,725 ","$1,189,117 ","$38,689,842 ","2,041"
2009,PENNINGTON,"$775,690,357 ","$141,855,847 ","$9,683,300 ","$222,651 ","$9,905,951 ",417
2009,PINE,"$375,565,838 ","$137,455,179 ","$9,522,444 ","$89,970 ","$9,612,414 ",760
2009,PIPESTONE,"$340,615,086 ","$51,860,763 ","$3,540,049 ","$112,498 ","$3,652,547 ",360
2009,POLK,"$815,971,215 ","$187,359,042 ","$12,878,145 ","$501,089 ","$13,379,234 ",774
2009,POPE,"$258,463,660 ","$60,463,567 ","$4,157,710 ","$129,814 ","$4,287,524 ",374
2009,RAMSEY,"$22,516,087,891 ","$5,571,524,723 ","$378,375,631 ","$52,681,192 ","$431,056,823 ","11,790"
2009,RED LAKE,"$78,603,623 ","$16,269,466 ","$1,113,993 ","$35,452 ","$1,149,445 ",112
2009,REDWOOD,"$956,721,549 ","$119,181,899 ","$8,164,064 ","$562,430 ","$8,726,494 ",584
2009,RENVILLE,"$414,439,249 ","$64,012,850 ","$4,403,024 ","$364,991 ","$4,768,015 ",512
2009,RICE,"$1,801,071,227 ","$361,117,530 ","$24,720,545 ","$582,588 ","$25,303,133 ","1,539"
2009,ROCK,"$224,752,521 ","$43,801,494 ","$2,979,285 ","$116,644 ","$3,095,929 ",300
2009,ROSEAU,"$562,618,630 ","$92,175,677 ","$6,294,592 ","$562,543 ","$6,857,135 ",509
2009,ST LOUIS,"$6,704,791,232 ","$2,001,858,761 ","$136,892,658 ","$21,333,967 ","$158,226,625 ","5,603"
2009,SCOTT,"$3,113,093,226 ","$985,016,640 ","$67,730,091 ","$3,349,489 ","$71,079,580 ","3,111"
2009,SHERBURNE,"$1,778,039,037 ","$491,117,051 ","$33,453,082 ","$1,190,854 ","$34,643,936 ","2,190"
2009,SIBLEY,"$368,243,302 ","$33,086,335 ","$2,284,062 ","$176,628 ","$2,460,690 ",416
2009,STEARNS,"$6,669,004,215 ","$1,464,524,061 ","$99,923,225 ","$5,540,606 ","$105,463,831 ","4,492"
2009,STEELE,"$2,844,205,882 ","$386,962,519 ","$26,257,721 ","$1,189,971 ","$27,447,692 ","1,103"
2009,STEVENS,"$295,176,306 ","$74,923,900 ","$5,101,895 ","$412,311 ","$5,514,206 ",355
2009,SWIFT,"$562,548,995 ","$59,868,654 ","$4,109,300 ","$87,361 ","$4,196,661 ",344
2009,TODD,"$549,808,127 ","$65,479,065 ","$4,556,488 ","$244,104 ","$4,800,592 ",674
2009,TRAVERSE,"$75,284,187 ","$15,933,353 ","$1,098,917 ","$23,553 ","$1,122,470 ",141
2009,WABASHA,"$375,927,190 ","$82,733,088 ","$5,741,104 ","$269,653 ","$6,010,757 ",740
2009,WADENA,"$497,505,797 ","$113,068,585 ","$7,677,754 ","$115,482 ","$7,793,236 ",488
2009,WASECA,"$492,023,874 ","$86,398,855 ","$5,929,291 ","$302,469 ","$6,231,760 ",532
2009,WASHINGTON,"$7,651,774,581 ","$1,721,300,735 ","$118,027,415 ","$5,679,159 ","$123,706,574 ","5,176"
2009,WATONWAN,"$529,539,102 ","$50,789,344 ","$3,473,077 ","$302,446 ","$3,775,523 ",358
2009,WILKIN,"$314,000,411 ","$18,860,781 ","$1,294,861 ","$33,338 ","$1,328,199 ",150
2009,WINONA,"$2,030,317,235 ","$332,070,576 ","$22,690,921 ","$1,755,423 ","$24,446,344 ","1,315"
2009,WRIGHT,"$3,466,754,885 ","$819,586,596 ","$56,022,076 ","$2,435,780 ","$58,457,856 ","3,182"
2009,YELLOW MEDICINE,"$313,455,747 ","$45,769,934 ","$3,150,185 ","$89,167 ","$3,239,352 ",380
,,"$266,666,158,772 ","$60,456,206,139 ","$4,122,844,215 ","$317,675,273 ","$4,440,519,488 ","161,698"
