GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "27000","Minnesota",4,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",13779073,14433758,15848308,16803686,17723431,17039228,18497677,19606901,18560047,19448014,21099299,19356652,20148188,21791436,21873690,23927410,23227119,24636860
 "27000","Minnesota",4,CAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",7315099,7469922,7894009,8345571,8723790,9054945,9355007,9580922,9230449,9442848,10008457,10466162,10932806,11092592,11417147,11656064,12119392,12521107
 "27000","Minnesota",4,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",11604318,12566830,13908481,16673344,16636010,16578439,15622392,15502135,13936035,16626436,19592630,25024179,24611550,23858441,23874576,21544506,22263695,23071938
 "27000","Minnesota",4,CAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",462672,404814,1307524,1960711,2456891,2080650,2028625,3442969,1393487,2511585,3801766,5183049,5003989,3020747,2513574,592055,1176013,1138953
 "27000","Minnesota",4,CAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",11141646,12162016,12600957,14712633,14179119,14497789,13593767,12059166,12542548,14114851,15790864,19841130,19607561,20837694,21361002,20952451,21087682,21932985
 "27000","Minnesota",4,CAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1029219,1017896,1847095,2470627,2941668,2553230,2631792,3970212,2121024,3140158,4300155,5977017,5613071,3628734,3180010,1335979,1850163,1852217
 "27000","Minnesota",4,CAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",130650125,134110256,139299405,148517001,152028060,157035343,164543785,167952015,160670417,166542751,175383644,184204372,189647514,198996605,207823027,213864137,221393884,231265013
 "27000","Minnesota",4,CAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",112862611,115274793,119788063,128129437,130865793,135139872,141719469,144066111,136185195,141724629,150778806,159587838,163917189,172315670,180213511,185489092,192278801,200713743
 "27000","Minnesota",4,CAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",117945,124593,229585,352297,336968,296390,223003,223698,222793,300690,292030,355089,353458,352001,398532,402385,463395,481398
 "27000","Minnesota",4,CAINC5N,101,"113","    Forestry and logging","Thousands of dollars",33104,33880,35958,49282,53387,52860,37083,37011,42026,51646,49279,48134,48971,53942,58869,56023,59978,59490
