periodyear,edr,naicstitle,wages
2004,EDR 5 - North Central,Food Manufacturing,37341776
2003,EDR 5 - North Central,Food Manufacturing,39170430
2002,EDR 5 - North Central,Food Manufacturing,37978491
2001,EDR 5 - North Central,Food Manufacturing,31737355
2018,EDR 6E- Southwest Central,Food Manufacturing,200699634
2017,EDR 6E- Southwest Central,Food Manufacturing,189382077
2016,EDR 6E- Southwest Central,Food Manufacturing,168794332
2015,EDR 6E- Southwest Central,Food Manufacturing,157637143
2014,EDR 6E- Southwest Central,Food Manufacturing,153822406
2013,EDR 6E- Southwest Central,Food Manufacturing,145862061
2012,EDR 6E- Southwest Central,Food Manufacturing,137807701
2011,EDR 6E- Southwest Central,Food Manufacturing,138476460
2010,EDR 6E- Southwest Central,Food Manufacturing,133810501
2009,EDR 6E- Southwest Central,Food Manufacturing,128838905
2008,EDR 6E- Southwest Central,Food Manufacturing,129132994
2007,EDR 6E- Southwest Central,Food Manufacturing,122655781
2006,EDR 6E- Southwest Central,Food Manufacturing,120806043
2005,EDR 6E- Southwest Central,Food Manufacturing,117635177
2004,EDR 6E- Southwest Central,Food Manufacturing,113888624
2003,EDR 6E- Southwest Central,Food Manufacturing,111750655
2002,EDR 6E- Southwest Central,Food Manufacturing,100800189
2001,EDR 6E- Southwest Central,Food Manufacturing,94010206
2018,EDR 6W- Upper Minnesota Valley,Food Manufacturing,17536220
2017,EDR 6W- Upper Minnesota Valley,Food Manufacturing,16516931
2016,EDR 6W- Upper Minnesota Valley,Food Manufacturing,16400618
2015,EDR 6W- Upper Minnesota Valley,Food Manufacturing,15033898
2014,EDR 6W- Upper Minnesota Valley,Food Manufacturing,15932296
2013,EDR 6W- Upper Minnesota Valley,Food Manufacturing,16531051
2012,EDR 6W- Upper Minnesota Valley,Food Manufacturing,19598230
2011,EDR 6W- Upper Minnesota Valley,Food Manufacturing,20287717
2010,EDR 6W- Upper Minnesota Valley,Food Manufacturing,21870451
2009,EDR 6W- Upper Minnesota Valley,Food Manufacturing,19977215
2008,EDR 6W- Upper Minnesota Valley,Food Manufacturing,20129562
2007,EDR 6W- Upper Minnesota Valley,Food Manufacturing,19433294
2006,EDR 6W- Upper Minnesota Valley,Food Manufacturing,19043628
2005,EDR 6W- Upper Minnesota Valley,Food Manufacturing,17594715
2004,EDR 6W- Upper Minnesota Valley,Food Manufacturing,17626023
2003,EDR 6W- Upper Minnesota Valley,Food Manufacturing,17062745
2002,EDR 6W- Upper Minnesota Valley,Food Manufacturing,17383888
2001,EDR 6W- Upper Minnesota Valley,Food Manufacturing,16453359
2018,EDR 7E- East Central,Food Manufacturing,14885366
2017,EDR 7E- East Central,Food Manufacturing,14114674
2016,EDR 7E- East Central,Food Manufacturing,12778600
2015,EDR 7E- East Central,Food Manufacturing,11340133
2014,EDR 7E- East Central,Food Manufacturing,11001278
2013,EDR 7E- East Central,Food Manufacturing,10398629
2012,EDR 7E- East Central,Food Manufacturing,10908055
2011,EDR 7E- East Central,Food Manufacturing,11528738
2010,EDR 7E- East Central,Food Manufacturing,10713475
2009,EDR 7E- East Central,Food Manufacturing,9815208
2008,EDR 7E- East Central,Food Manufacturing,8713511
2007,EDR 7E- East Central,Food Manufacturing,7266259
2006,EDR 7E- East Central,Food Manufacturing,7153610
2005,EDR 7E- East Central,Food Manufacturing,7394283
2004,EDR 7E- East Central,Food Manufacturing,7372200
2003,EDR 7E- East Central,Food Manufacturing,8220422
2002,EDR 7E- East Central,Food Manufacturing,8942012
2001,EDR 7E- East Central,Food Manufacturing,7989319
