periodyear,edr,naicstitle,emp
2010,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,50
2009,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,45
2008,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,51
2007,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,50
2006,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,52
2005,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,53
2004,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,65
2003,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,65
2002,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,63
2001,EDR 5 - North Central,Farm Product Raw Material Merchant Wholesalers,73
2018,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,191
2017,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,210
2016,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,225
2015,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,225
2014,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,254
2013,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,255
2012,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,241
2011,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,224
2010,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,243
2009,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,240
2008,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,262
2007,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,268
2006,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,271
2005,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,243
2004,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,251
2003,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,262
2002,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,273
2001,EDR 6E- Southwest Central,Farm Product Raw Material Merchant Wholesalers,293
2018,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,344
2017,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,363
2016,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,378
2015,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,412
2014,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,417
2013,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,423
2012,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,413
2011,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,425
2010,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,449
2009,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,422
2008,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,465
2007,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,450
2006,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,441
2005,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,439
2004,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,421
2003,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,393
2002,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,391
2001,EDR 6W- Upper Minnesota Valley,Farm Product Raw Material Merchant Wholesalers,357
2001,EDR 7E- East Central,Farm Product Raw Material Merchant Wholesalers,61
2001,EDR 7W- Central,Farm Product Raw Material Merchant Wholesalers,35
2018,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,744
2017,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,781
2016,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,809
2015,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,812
2014,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,775
2013,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,766
2012,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,754
2011,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,762
2010,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,783
2009,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,730
2008,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,719
2007,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,636
2006,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,626
2005,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,634
2004,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,629
2003,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,637
2002,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,650
2001,EDR 8 - Southwest,Farm Product Raw Material Merchant Wholesalers,667
2018,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,670
2017,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,669
2016,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,720
2015,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,733
2014,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,716
2013,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,717
2012,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,732
2011,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,747
2010,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,740
2009,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,709
2008,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,683
2007,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,666
