year,edr,planning.region,total.earnings,farm.earnings,index.farm.earnings,index.total.earnings,pct.farm.earnings,farm.emp,total.emp
2013,EDR 4 - West Central,Northwest,5851269000,706894000,4.378892101658804,0.8419029877056817,0.12081037463839041,9776,131997
2013,EDR 6W- Upper Minnesota Valley,Southwest,1466664000,474598000,5.784332785362018,0.9941182468949483,0.32359013380024326,3789,28014
2013,EDR 8 - Southwest,Southwest,4158265000,1149231000,4.83368951111427,0.9627585809753882,0.2763727179484713,8039,79614
2013,EDR 9 - South Central,Southwest,6505083000,935246000,4.9218646117608325,0.5689332981523725,0.14377157063176596,8544,143529
2014,EDR 4 - West Central,Northwest,5637300000,389986000,1.967478313803074,0.7745483437171048,0.06917957178081706,9355,132959
2014,EDR 6W- Upper Minnesota Valley,Southwest,1285005000,224531000,2.209649060110071,0.7471294842249098,0.1747316158302886,3632,27764
2014,EDR 8 - Southwest,Southwest,3977786000,790487000,3.0126447342372296,0.8775699972906407,0.19872537134979107,7697,79737
2014,EDR 9 - South Central,Southwest,6518317000,625751000,2.9621796860654337,0.5721251503190163,0.09599885982838821,8178,143372
2015,EDR 4 - West Central,Northwest,5745995000,296050000,1.252701263125856,0.8087641087500692,0.0515228433021609,9700,134088
2015,EDR 6W- Upper Minnesota Valley,Southwest,1324505000,208269000,1.9771853334286327,0.8008348119293809,0.15724289451530948,3727,27734
2015,EDR 8 - Southwest,Southwest,4051685000,758112000,2.848303798496439,0.9124513471746668,0.18711030102290777,7913,79918
2015,EDR 9 - South Central,Southwest,6581487000,478992000,2.032919439502061,0.587360853913311,0.07277868967909532,8446,145440
2016,EDR 4 - West Central,Northwest,5777310000,164411000,0.2510348500989195,0.8186216613698519,0.028458054007834094,9325,134120
2016,EDR 6W- Upper Minnesota Valley,Southwest,1183607000,96921000,0.38547637767136017,0.6092658685647081,0.08188613281266502,3596,27454
2016,EDR 8 - Southwest,Southwest,3560373000,312222000,0.5848912938644358,0.680545289254794,0.08769362086500487,7623,78901
2016,EDR 9 - South Central,Southwest,6323860000,104237000,-0.3399839170270561,0.5252248936491452,0.016483128975024748,8128,146462
2017,EDR 4 - West Central,Northwest,5801629000,159363000,0.21262364936843708,0.8262769646481689,0.02746866440442848,9038,134928
2017,EDR 6W- Upper Minnesota Valley,Southwest,1124669000,45754000,-0.345950968479737,0.5291320811154393,0.040682191827106466,3489,27024
2017,EDR 8 - Southwest,Southwest,3666607000,368728000,0.8717252371839451,0.7306892062709869,0.10056381826576996,7391,78192
2017,EDR 9 - South Central,Southwest,6665171000,332042000,1.1024498040283415,0.6075442419073741,0.04981747655086419,7879,146653
2018,EDR 4 - West Central,Northwest,6101348000,230130000,0.7511033328260539,0.9206245876291256,0.03771789447184458,9088,136417
2018,EDR 6W- Upper Minnesota Valley,Southwest,1238363000,113197000,0.618140233006933,0.6837136894200504,0.09140857729114969,3502,27230
2018,EDR 8 - Southwest,Southwest,3762882000,385797000,0.9583703470575993,0.7761323375729615,0.10252699925216895,7427,78714
2018,EDR 9 - South Central,Southwest,6722815000,186968000,0.1838587737682912,0.6214471530675691,0.027810969065785687,7921,146866
