County,Year,Number of jurisdictions reporting,Total acres,Total estimated value,Estimated value per acre
Goodhue,2004,31,424611,957605300,2255
Goodhue,2005,31,423699,1206341400,2847
Goodhue,2006,31,422244,1472926600,3488
Goodhue,2007,31,421311,1457952400,3461
Goodhue,2008,31,420835,1543940700,3669
Grant,2000,23,326029,284606200,873
Grant,2001,23,325714,284274650,873
Grant,2002,23,338149,285795150,845
Grant,2003,23,337952,314246350,930
Grant,2004,23,324753,366550880,1129
Grant,2005,23,325035,426177580,1311
Grant,2006,23,323270,462860500,1432
Grant,2007,23,322752,522857400,1620
Grant,2008,23,321620,561693000,1746
Hennepin,2000,47,0,473396900,
Hennepin,2001,46,0,576308000,
Hennepin,2002,46,0,689940700,
Hennepin,2003,46,0,781347500,
Hennepin,2004,46,0,910449700,
Hennepin,2005,46,0,1290861640,
Hennepin,2006,46,0,1557669650,
Hennepin,2007,46,0,1748359400,
Hennepin,2008,46,0,1724399800,
Houston,2000,24,308811,308087300,998
Houston,2001,24,308281,320115590,1038
Houston,2002,24,307321,421042200,1370
Houston,2003,24,306747,440352840,1436
Houston,2004,24,305329,472520740,1548
Houston,2005,24,306019,571656440,1868
Houston,2006,24,304409,662278760,2176
Houston,2007,24,303035,776543700,2563
Houston,2008,24,302046,819187800,2712
Hubbard,2000,32,158188,89055830,563
Hubbard,2001,32,156448,116355690,744
Hubbard,2002,32,153693,141737840,922
Hubbard,2003,32,151786,155615440,1025
Hubbard,2004,32,147830,178594750,1208
Hubbard,2005,32,144374,188309350,1304
Hubbard,2006,32,143328,231129360,1613
Hubbard,2007,32,141805,294789210,2079
Hubbard,2008,32,141224,296104785,2097
Isanti,2000,16,222341,298441200,1342
Isanti,2001,16,220447,369831800,1678
Isanti,2002,16,219331,422017800,1924
Isanti,2003,16,218366,550634500,2522
Isanti,2004,16,217561,701629700,3225
Isanti,2005,16,216202,852274000,3942
Isanti,2006,16,214980,991537000,4612
Isanti,2007,16,213918,1022484300,4780
Isanti,2008,16,211321,1018624800,4820
Itasca,2000,93,109696,35261600,321
Itasca,2001,93,110026,35976200,327
Itasca,2002,93,111106,44005900,396
Itasca,2003,93,110704,58605500,529
Itasca,2004,93,110208,83292900,756
Itasca,2005,94,108993,114420000,1050
Itasca,2006,93,108128,136196100,1260
Itasca,2007,93,108161,159496800,1475
Itasca,2008,93,109298,166940900,1527
Jackson,2000,26,427761,658029032,1538
Jackson,2001,26,427168,672937632,1575
Jackson,2002,26,426788,709958332,1663
Jackson,2003,26,426420,718440098,1685
Jackson,2004,26,425229,816837582,1921
Jackson,2005,26,424553,872550844,2055
Jackson,2006,26,423552,1010548770,2386
Jackson,2007,26,422427,1082876836,2563
Jackson,2008,26,422124,1265950600,2999
Kanabec,2000,20,212402,120377600,567
Kanabec,2001,20,210322,154224500,733
Kanabec,2002,20,208991,173245600,829
Kanabec,2003,20,204990,234238500,1143
Kanabec,2004,20,198210,284824500,1437
Kanabec,2005,20,195874,310921500,1587
Kanabec,2006,20,195759,358882800,1833
Kanabec,2007,20,195606,369858200,1891
Kanabec,2008,20,195759,383891300,1961
Kandiyohi,2000,36,435758,476769036,1094
Kandiyohi,2001,36,434718,504973105,1162
Kandiyohi,2002,36,433413,541467750,1249
Kandiyohi,2003,36,431759,577931160,1339
Kandiyohi,2004,36,430618,705144509,1638
Kandiyohi,2005,36,429405,854127396,1989
Kandiyohi,2006,36,428760,1022857473,2386
Kandiyohi,2007,36,428472,1025911711,2394
Kandiyohi,2008,36,427622,1127461026,2637
Kittson,2000,39,590015,249492350,423
Kittson,2001,39,589401,225921050,383
Kittson,2002,39,587580,228287730,389
Kittson,2003,39,587321,232963830,397
Kittson,2004,39,586929,306133080,522
Kittson,2005,39,586546,367120626,626
Kittson,2006,39,586976,409014593,697
Kittson,2007,39,587564,409092673,696
Kittson,2008,39,583136,451741073,775
Koochiching,2000,11,134119,36465800,272
Koochiching,2001,11,132424,35927300,271
