County,Year,Number.of.jurisdictions.reporting,Total.acres,Total.estimated.value,Estimated.value.per.acre,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Brown,2008,23,364685,1084128200,2973,015,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Carlton,2000,34,167528,60492100,361,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2001,34,162232,75740900,467,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2002,34,161396,90134600,558,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2003,34,159162,106438500,669,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2004,34,157114,124837100,795,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2005,34,152942,154704400,1012,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2006,34,153388,188965800,1232,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2007,34,152790,198708100,1301,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carlton,2008,34,149893,210574300,1405,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Carver,2000,22,179332,339377600,1892,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2001,22,178098,423312850,2377,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2002,22,175538,497461200,2834,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2003,22,174253,571035450,3277,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2004,22,173334,698446850,4029,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2005,21,171733,888565e3,5174,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2006,21,169310,1131299450,6682,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2007,21,167806,1293805500,7710,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Carver,2008,21,167854,1289936450,7685,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,2000,76,248490,94313200,380,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2001,76,246265,121200800,492,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2002,76,243528,150575900,618,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2003,76,240913,174647900,725,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2004,76,237281,210337600,886,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2005,76,234904,233207600,993,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2006,76,231497,313202e3,1353,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2007,76,231871,339872800,1466,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Cass,2008,76,225194,363370900,1614,021,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Chippewa,2000,22,349994,412020900,1177,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2001,22,349726,422687700,1209,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2002,22,349526,454069500,1299,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2003,22,348965,464740400,1332,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2004,22,348832,590085700,1692,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2005,22,348347,649152500,1864,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2006,22,348006,785203500,2256,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2007,22,347506,874806900,2517,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chippewa,2008,22,345953,888139200,2567,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Chisago,2000,20,191733,315334400,1645,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2001,20,187789,387415600,2063,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2002,20,186236,475531900,2553,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2003,20,185379,572405200,3088,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2004,20,182796,725736847,3970,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
Chisago,2005,20,180587,831884024,4607,025,D,Entirely urban,EDR 7E- East Central,Central Minnesota
