County,Year,Number.of.jurisdictions.reporting,Total.acres,Total.estimated.value,Estimated.value.per.acre,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Norman,2005,32,533613,367032400,688,107,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Norman,2006,32,533593,483156050,905,107,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Norman,2007,32,532719,487135900,914,107,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Norman,2008,32,532605,603692300,1133,107,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Olmsted,2000,26,361952,482853020,1334,109,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Olmsted,2001,26,359550,535639240,1490,109,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Olmsted,2002,26,357393,613450740,1716,109,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Olmsted,2003,26,351978,681008140,1935,109,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Olmsted,2004,26,346914,1010766140,2914,109,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Olmsted,2005,26,347297,1206943200,3475,109,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Olmsted,2006,26,343664,1295987700,3771,109,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Olmsted,2007,26,336375,1346358800,4003,109,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Olmsted,2008,26,331493,1351625500,4077,109,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
Otter Tail,2000,84,1062676,580794e3,547,111,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Otter Tail,2001,84,1058307,715951600,677,111,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Otter Tail,2002,84,1055727,830417050,787,111,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Otter Tail,2003,84,1050334,922448600,878,111,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Otter Tail,2004,84,1035346,979200150,946,111,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Otter Tail,2005,84,1027975,1277656700,1243,111,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Otter Tail,2006,84,1024393,1478863700,1444,111,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Otter Tail,2007,84,1019483,1884075300,1848,111,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Otter Tail,2008,84,1009157,1944383050,1927,111,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Pennington,2000,24,369105,99306900,269,113,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Pennington,2001,24,368378,99224800,269,113,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Pennington,2002,24,368280,99302100,270,113,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Pennington,2003,24,367584,105964350,288,113,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Pennington,2004,24,366973,117589050,320,113,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Pennington,2005,24,366649,149484500,408,113,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Pennington,2006,24,365979,175620800,480,113,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Pennington,2007,24,365597,216386100,592,113,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Pennington,2008,24,361803,227730900,629,113,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Pine,2000,47,367901,200476150,545,115,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Pine,2001,47,364579,254733630,699,115,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Pine,2002,47,363102,328947175,906,115,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Pine,2003,47,358651,415681730,1159,115,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Pine,2004,47,354839,492645435,1388,115,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Pine,2005,47,347710,523162550,1505,115,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Pine,2006,47,341142,573674780,1682,115,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Pine,2007,47,336498,631567060,1877,115,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Pine,2008,47,333026,626005910,1880,115,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Pipestone,2000,21,286932,260708e3,909,117,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Pipestone,2001,21,286621,283757900,990,117,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Pipestone,2002,21,286511,309940900,1082,117,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Pipestone,2003,21,286373,358257600,1251,117,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Pipestone,2004,21,286212,389914900,1362,117,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Pipestone,2005,21,286087,464990800,1625,117,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Pipestone,2006,21,285865,519722600,1818,117,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Pipestone,2007,21,285004,588916500,2066,117,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Pipestone,2008,21,284911,665558900,2336,117,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Polk,2000,73,1177996,702003310,596,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Polk,2001,73,1176193,702232970,597,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Polk,2002,73,1175111,711469e3,605,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Polk,2003,73,1172923,706957650,603,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Polk,2004,73,1167967,725507800,621,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Polk,2005,73,1165377,811735520,697,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Polk,2006,73,1159993,1008801910,870,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Polk,2007,73,1156284,1124628810,973,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Polk,2008,73,1155074,1289908970,1117,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Pope,2000,29,382161,236835200,620,121,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Pope,2001,29,382154,250765850,656,121,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Pope,2002,29,381797,251069950,658,121,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Pope,2003,29,380353,322341750,847,121,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Pope,2004,29,371354,414319900,1116,121,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Pope,2005,29,369534,524987350,1421,121,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Pope,2006,29,368735,635095310,1722,121,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Pope,2007,29,367751,667717400,1816,121,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Pope,2008,29,366677,733930910,2002,121,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Ramsey,2000,19,402,28801e3,71644,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Ramsey,2001,19,445,32434400,72886,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Ramsey,2002,19,435,51233300,117778,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Ramsey,2003,19,424,42975600,101358,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Ramsey,2004,18,310,33415800,107793,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Ramsey,2005,18,288,35769300,124199,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Ramsey,2006,18,305,49682200,162892,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Ramsey,2007,18,275,49608200,180393,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Ramsey,2008,18,256,44672e3,174500,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,2000,17,261101,72154600,276,125,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Red Lake,2001,17,261117,72119e3,276,125,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Red Lake,2002,17,260190,79912900,307,125,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Red Lake,2003,17,260331,79871200,307,125,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Red Lake,2004,17,260158,93187800,358,125,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Red Lake,2005,17,260100,118742900,457,125,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Red Lake,2006,17,259666,136004400,524,125,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Red Lake,2007,17,259689,157534800,607,125,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Red Lake,2008,17,259699,180696700,696,125,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Redwood,2000,41,541203,755031315,1395,127,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Redwood,2001,41,541051,759237860,1403,127,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Redwood,2002,41,540768,855585160,1582,127,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Redwood,2003,41,540559,846719710,1566,127,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Redwood,2004,41,540058,925791850,1714,127,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Redwood,2005,41,539815,1091728650,2022,127,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Redwood,2006,41,538999,1235154435,2292,127,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Redwood,2007,41,538859,1424458100,2643,127,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Redwood,2008,41,537495,1530810512,2848,127,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Renville,2000,37,605357,955987900,1579,129,A,Entirely rural,EDR 6E- Southwest Central,Central Minnesota
Renville,2001,37,604639,955165400,1580,129,A,Entirely rural,EDR 6E- Southwest Central,Central Minnesota
Renville,2002,37,604175,957850100,1585,129,A,Entirely rural,EDR 6E- Southwest Central,Central Minnesota
Renville,2003,37,603533,1020763700,1691,129,A,Entirely rural,EDR 6E- Southwest Central,Central Minnesota
Renville,2004,37,603151,1094825500,1815,129,A,Entirely rural,EDR 6E- Southwest Central,Central Minnesota
Renville,2005,37,603044,1361322360,2257,129,A,Entirely rural,EDR 6E- Southwest Central,Central Minnesota
Renville,2006,37,602397,1550431280,2574,129,A,Entirely rural,EDR 6E- Southwest Central,Central Minnesota
Renville,2007,37,601748,1618944760,2690,129,A,Entirely rural,EDR 6E- Southwest Central,Central Minnesota
Renville,2008,37,601416,1854717260,3084,129,A,Entirely rural,EDR 6E- Southwest Central,Central Minnesota
Rice,2000,21,279344,532158105,1905,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Rice,2001,21,278274,595787470,2141,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Rice,2002,21,276902,653463070,2360,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Rice,2003,21,276820,829701461,2997,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Rice,2004,21,274883,951269544,3461,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Rice,2005,21,273463,1132661350,4142,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Rice,2006,21,271234,1565630675,5772,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Rice,2007,21,270072,1566640175,5801,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Rice,2008,21,266120,1546031557,5810,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Rock,2000,20,298125,382168300,1282,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Rock,2001,20,297839,432480950,1452,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Rock,2002,20,297218,453511750,1526,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Rock,2003,20,296669,502813900,1695,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Rock,2004,20,296245,548086500,1850,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Rock,2005,20,296096,603591900,2039,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Rock,2006,20,296046,737972350,2493,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Rock,2007,20,296000,793423900,2680,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Rock,2008,20,295613,1020928800,3454,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Roseau,2000,56,697112,181973300,261,135,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Roseau,2001,56,695544,183289100,264,135,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Roseau,2002,56,693821,186917050,269,135,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Roseau,2003,56,692633,187996950,271,135,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Roseau,2004,56,691688,200843100,290,135,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Roseau,2005,56,685752,241165900,352,135,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Roseau,2006,54,673130,278648450,414,135,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Roseau,2007,54,673121,293338300,436,135,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Roseau,2008,54,672224,345337650,514,135,B,Town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Scott,2000,19,146689,379354500,2586,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Scott,2001,19,143890,412278100,2865,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Scott,2002,19,142365,512850200,3602,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Scott,2003,19,137793,559478100,4060,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Scott,2004,19,134551,612713300,4554,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Scott,2005,19,131830,734138900,5569,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Scott,2006,18,130120,758728250,5831,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Scott,2007,18,131139,966945400,7373,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Scott,2008,18,128086,1293985300,10102,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,2000,17,180876,317689492,1756,141,D,Entirely urban,EDR 7W- Central,Central Minnesota
Sherburne,2001,17,178936,346902180,1939,141,D,Entirely urban,EDR 7W- Central,Central Minnesota
Sherburne,2002,17,225677,404303543,1792,141,D,Entirely urban,EDR 7W- Central,Central Minnesota
Sherburne,2003,17,168605,457973646,2716,141,D,Entirely urban,EDR 7W- Central,Central Minnesota
Sherburne,2004,17,166415,688889560,4140,141,D,Entirely urban,EDR 7W- Central,Central Minnesota
Sherburne,2005,17,162236,762867900,4702,141,D,Entirely urban,EDR 7W- Central,Central Minnesota
Sherburne,2006,17,158625,876380200,5525,141,D,Entirely urban,EDR 7W- Central,Central Minnesota
Sherburne,2007,17,156739,938729e3,5989,141,D,Entirely urban,EDR 7W- Central,Central Minnesota
Sherburne,2008,17,149075,848769200,5694,141,D,Entirely urban,EDR 7W- Central,Central Minnesota
Sibley,2000,24,359529,590710712,1643,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Sibley,2001,24,359149,630328482,1755,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Sibley,2002,24,358508,629367211,1756,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Sibley,2003,24,357894,690558604,1930,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Sibley,2004,24,357255,784934610,2197,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Sibley,2005,24,356653,938069331,2630,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Sibley,2006,24,355603,1094383503,3078,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Sibley,2007,24,355262,1131267578,3184,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Sibley,2008,24,354544,1197993595,3379,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
St. Louis,2000,110,165716,48738200,294,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
St. Louis,2001,110,164659,58029300,352,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
St. Louis,2002,110,164748,66303700,402,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
St. Louis,2003,111,164613,84840900,515,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
St. Louis,2004,111,164754,105231400,639,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
St. Louis,2005,111,164816,116618e3,708,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
St. Louis,2006,111,164363,153259200,932,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
St. Louis,2007,111,162998,166710700,1023,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
St. Louis,2008,111,161867,164815100,1018,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Stearns,2000,66,741274,612877070,827,145,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Stearns,2001,66,738918,675787135,915,145,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Stearns,2002,66,735227,787792145,1071,145,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Stearns,2003,64,729648,1150192430,1576,145,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Stearns,2004,64,725335,1324543030,1826,145,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Stearns,2005,64,720826,1564223050,2170,145,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Stearns,2006,64,715881,1827945750,2553,145,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Stearns,2007,64,713117,2188579650,3069,145,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Stearns,2008,64,709181,2349632350,3313,145,C,Urban/town/rural mix,EDR 7W- Central,Central Minnesota
Steele,2000,17,251932,402273515,1597,147,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Steele,2001,17,251869,414957953,1648,147,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Steele,2002,17,251219,453455633,1805,147,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Steele,2003,17,250607,482726626,1926,147,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Steele,2004,17,250032,526092076,2104,147,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Steele,2005,17,249395,616563472,2472,147,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Steele,2006,17,249042,698830353,2806,147,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Steele,2007,17,247975,768336059,3098,147,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Steele,2008,17,246725,833816934,3380,147,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Stevens,2000,21,335313,284270800,848,149,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Stevens,2001,21,335036,284047600,848,149,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Stevens,2002,21,334857,303378500,906,149,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Stevens,2003,21,334538,347074e3,1037,149,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Stevens,2004,21,334360,444151400,1328,149,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Stevens,2005,21,333910,499909100,1497,149,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Stevens,2006,21,333802,607424800,1820,149,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Stevens,2007,21,333600,718638800,2154,149,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Stevens,2008,21,333434,755601300,2266,149,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Swift,2000,29,446775,371697505,832,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Swift,2001,29,446603,392155194,878,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Swift,2002,29,446611,414939074,929,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Swift,2003,29,446050,470356410,1054,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Swift,2004,29,445262,559065700,1256,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Swift,2005,29,446543,679067950,1521,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Swift,2006,29,444485,841317900,1893,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Swift,2007,29,444166,845632900,1904,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Swift,2008,29,443180,999621660,2256,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Todd,2000,39,506310,194509750,384,153,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Todd,2001,39,504803,233648750,463,153,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Todd,2002,39,504363,294174200,583,153,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Todd,2003,39,504797,367939400,729,153,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Todd,2004,39,503368,438328700,871,153,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Todd,2005,39,501368,528916100,1055,153,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Todd,2006,39,500032,577267570,1154,153,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Todd,2007,39,497423,746058100,1500,153,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Todd,2008,39,498822,759890890,1523,153,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Traverse,2000,19,353727,301111e3,851,155,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Traverse,2001,19,353297,300697200,851,155,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Traverse,2002,19,353328,335657300,950,155,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Traverse,2003,19,353145,385887e3,1093,155,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Traverse,2004,19,352791,455766e3,1292,155,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Traverse,2005,19,352572,532409600,1510,155,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Traverse,2006,19,352157,632963400,1797,155,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Traverse,2007,19,351674,648257700,1843,155,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Traverse,2008,19,352502,6982e5,1981,155,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Wabasha,2000,28,297638,348538050,1171,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Wabasha,2001,28,296655,405097e3,1366,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Wabasha,2002,28,295863,424261350,1434,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Wabasha,2003,28,295062,444202550,1505,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Wabasha,2004,28,294187,502557130,1708,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Wabasha,2005,28,293124,559758060,1910,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Wabasha,2006,28,292509,677257140,2315,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Wabasha,2007,28,291768,727660230,2494,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Wabasha,2008,28,290863,837701230,2880,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Wadena,2000,22,222060,78742800,355,159,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Wadena,2001,22,218712,99731300,456,159,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Wadena,2002,22,218396,119301200,546,159,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Wadena,2003,22,216764,140186500,647,159,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Wadena,2004,22,212200,166623700,785,159,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Wadena,2005,22,212921,199048550,935,159,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Wadena,2006,22,214129,242281800,1131,159,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Wadena,2007,22,216030,282029200,1306,159,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Wadena,2008,22,214843,280298e3,1305,159,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Waseca,2000,17,254863,446342600,1751,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Waseca,2001,17,254632,446134700,1752,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Waseca,2002,17,254193,521130900,2050,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Waseca,2003,17,253897,577356400,2274,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Waseca,2004,17,253496,575555600,2270,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Waseca,2005,17,252680,648600900,2567,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Waseca,2006,17,253082,751208500,2968,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Waseca,2007,17,251981,819492500,3252,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Waseca,2008,17,251372,900807200,3584,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Washington,2000,34,110334,517752191,4693,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Washington,2001,33,107182,671779704,6268,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Washington,2002,33,105689,806052246,7627,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Washington,2003,33,103108,935526970,9073,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Washington,2004,33,100613,1104128796,10974,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
