GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27149,"Stevens, MN",118410,113162,125329,143146,148614,156107,204184,239724,243343,247778,287202,335454,357668,374574,349327,352858,350538,358907
27151,"Swift, MN",161826,162364,160190,166493,163506,166443,212571,234775,223839,216755,239649,267960,283537,290368,277376,277966,258021,271406
27153,"Todd, MN",115685,106382,108488,115113,114926,119103,155094,162950,158028,154867,174014,196216,211153,218158,209891,212121,191917,199183
27155,"Traverse, MN",80925,80642,81983,88839,89918,92497,110289,134653,134215,134979,152350,177558,185050,184430,176777,182810,173218,183478
27157,"Wabasha, MN",107216,101973,100238,105706,107981,110540,139350,152509,149705,146473,164162,189654,199088,204375,194000,197100,184135,190026
27159,"Wadena, MN",59111,55453,49072,45811,41442,38245,42873,44064,40689,38111,40468,44517,46956,48651,46188,46736,43678,44952
27161,"Waseca, MN",119016,111577,115701,126182,128665,134304,177265,198118,191096,188681,206825,227027,243773,255215,237242,238093,223738,231418
27163,"Washington, MN",66061,67433,67955,69946,68149,64120,74289,72014,72317,66742,67873,80629,79460,80572,79297,81420,76500,78298
27165,"Watonwan, MN",129026,125531,127116,138055,134262,135177,159443,191101,186474,186308,207457,228772,245051,255348,238176,239022,224987,226567
27167,"Wilkin, MN",102315,100197,104924,109427,108172,111940,132013,168759,172853,174940,199779,240483,245615,239818,231092,231885,219377,226260
27169,"Winona, MN",150154,145888,143531,148317,146946,149307,189873,198787,190354,182142,200223,224893,239044,246460,231796,235966,219327,227182
27171,"Wright, MN",118003,115704,109625,112335,110771,110544,136667,154291,156069,155539,175752,206761,215459,221621,206281,210099,196704,202735
27173,"Yellow Medicine, MN",135151,130975,132528,141527,143054,146679,180981,215056,213158,213694,239375,272204,296475,299486,293772,285386,267607,277909
