county.fips,county,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
27079,"Le Sueur, MN",22778,25868,25721,29588,45071,50266,45233,46905,48697,63164,68215,71270,72709,67704,70761,70068,64837,63240,70072,76285,74397,75311,78884,72102,77517,59733,84840,88806,81961,80390,75187,86379,85201,86632,96063,114366,105897,119676,144761,175081,155210,169323,189037,233051,240624,220612,182334,187816
27081,"Lincoln, MN",24248,25027,25315,27872,40437,45483,38099,36716,39001,45840,55549,67757,64922,61207,60907,54668,56970,55162,59577,61716,60425,62942,72751,57452,50573,52227,63162,74109,67377,72817,65057,77328,77482,73910,86406,97778,100550,108671,138891,153015,149831,166046,185048,203152,237880,208543,173446,181292
27083,"Lyon, MN",41861,46864,46845,55454,79396,86752,63998,64096,74233,95463,106153,129779,120396,111969,108301,99389,100071,97895,110849,115322,112921,118984,142895,120819,118267,111714,140959,167923,143681,144525,135525,152429,156797,156814,177949,211912,211289,237319,310873,349983,316302,354172,371880,409402,450655,423839,358436,364894
27085,"McLeod, MN",30620,32773,32470,35969,50520,61229,53591,50889,55901,69175,78325,91206,91031,83862,92848,81369,76858,71602,78963,88150,84573,82696,90755,80412,80286,68217,94257,94674,81436,87340,86173,84261,78680,80532,85573,96577,92749,109734,128820,168516,149813,165262,174113,237548,231954,201120,168292,178896
27087,"Mahnomen, MN",7674,7485,7734,8474,19474,13488,11963,15700,11845,15673,19812,20234,22092,19196,24740,23169,16946,17265,21741,38430,27515,25517,26651,22859,24438,15847,21784,31135,23517,25379,21955,27659,26016,23895,31288,26088,27017,33157,44783,56007,41849,54616,72781,96681,108724,79973,68846,77317
27089,"Marshall, MN",24546,29429,32677,41145,78518,90574,71583,69097,49912,82490,95568,103666,94415,81195,101720,100737,91865,81156,94113,97804,105065,88582,98253,107778,75041,68166,94006,118565,94887,93470,68332,101883,80488,102137,149096,103264,108531,144974,200297,269076,194415,209179,249750,334454,359174,261342,228218,253611
27091,"Martin, MN",55933,59879,60408,66426,108079,125715,99037,86853,84167,131191,128642,179109,160715,141915,154502,139900,128947,129393,152345,198408,156318,165590,161785,153030,125898,157416,217546,250782,231864,213941,192179,249016,246880,240573,283006,359983,351173,379248,423005,504559,442406,480478,578041,652723,713640,663863,528615,534978
27093,"Meeker, MN",30018,34618,34072,36791,56588,61438,59240,61218,64020,79030,87137,105902,105987,100730,98770,94964,90635,85123,90518,96881,100891,106096,118126,99698,105380,93409,121911,142651,130102,125429,123181,120998,117279,122297,126466,156442,146232,168121,207418,254148,213539,235171,238239,292762,297585,272871,237811,242657
27095,"Mille Lacs, MN",10873,11516,11890,12659,16510,17181,17456,20651,21674,23967,27081,32253,32721,32999,34145,32425,33296,33040,35062,34100,34823,34045,32813,32187,33764,27722,28709,30720,28561,29017,26545,25491,24918,23097,23270,27342,24134,24785,28712,37397,35129,41361,39907,53965,47244,48652,41696,41182
27097,"Morrison, MN",24666,26426,26919,29217,42981,43105,44176,50610,58087,66430,78024,91799,98717,102212,108166,113632,116751,119746,120533,119473,129735,132622,129455,127616,136379,131096,139864,164807,158980,162634,159648,155290,167554,160345,173085,210388,208028,209329,274548,339180,286061,334642,382834,441505,399828,450703,391081,368597
