GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
27139,"Scott, MN",52775,53597,56334,61112,55267,57234,65893,85421,76082,83574,94804,114696,113120,108194,95516,95434,100455
27141,"Sherburne, MN",39038,42733,47352,52131,56224,56821,66631,75327,65365,66501,77353,87085,88159,80839,70356,76924,74204
27143,"Sibley, MN",152222,161146,168109,196078,184374,205570,250365,309456,274971,300831,324947,380770,393388,354947,320880,337321,340339
27145,"Stearns, MN",366818,346821,374677,455766,434249,424344,553835,647270,535655,620737,725813,828094,806478,887724,756210,742833,762406
27147,"Steele, MN",110421,119178,126269,145516,138871,152192,191267,215282,188183,212749,247266,302347,250927,234695,190784,193043,194765
27149,"Stevens, MN",113139,119060,145007,171786,166846,190653,256795,304825,253626,306658,341608,458773,460425,453839,352667,368406,379072
27151,"Swift, MN",128495,148371,149925,160475,154024,169796,208638,259151,221963,249039,269797,333826,328623,283121,243457,258655,234452
27153,"Todd, MN",106978,98875,104159,124281,122501,120819,157094,177972,153162,181118,213647,245747,224337,243211,232380,224612,218625
27155,"Traverse, MN",65349,76938,77679,81611,66803,89788,113185,140399,140112,155392,152834,260355,239067,176057,147334,171287,165065
27157,"Wabasha, MN",106333,98260,108747,127172,117978,116033,154690,173484,141251,166313,211550,235451,228859,235987,177729,180710,190369
27159,"Wadena, MN",43213,39183,41214,41997,40218,35802,42213,47857,40871,46210,54661,56914,58330,57193,46818,45729,48540
27161,"Waseca, MN",106296,105609,118889,141406,137454,154664,211588,258237,222309,248713,289031,314398,297266,281431,230586,233981,245410
27163,"Washington, MN",50524,52325,62127,63853,65163,69331,70424,83883,85482,90983,107654,106845,108177,89173,80306,82979,77899
27165,"Watonwan, MN",120571,123334,136641,174879,157904,169329,190985,230973,211287,230237,277272,290643,323421,285101,217531,212950,236694
27167,"Wilkin, MN",87736,99551,119066,115783,100287,118579,139971,182377,150140,186983,206765,294046,291650,213413,177300,206742,207596
27169,"Winona, MN",144507,130388,137980,162906,154079,149260,202782,211942,176850,216047,272686,292306,293120,314186,238654,238643,249313
27171,"Wright, MN",94295,92469,97438,120973,113463,120206,145308,170329,160009,172854,190458,232796,217814,202743,205059,210626,210066
27173,"Yellow Medicine, MN",133380,135014,149427,168791,153738,173165,214459,244713,237695,263242,301427,326351,398743,332142,270852,295517,294240
